author_institute_type,question_type,collaborator_institute_type,clarity,interest,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,feature_64,feature_65,feature_66,feature_67,feature_68,feature_69,feature_70,feature_71,feature_72,feature_73,feature_74,feature_75,feature_76,feature_77,feature_78,feature_79,feature_80,feature_81,feature_82,feature_83,feature_84,feature_85,feature_86,feature_87,feature_88,feature_89,feature_90,feature_91,feature_92,feature_93,feature_94,feature_95,feature_96,feature_97,feature_98,feature_99,feature_100,feature_101,feature_102,feature_103,feature_104,feature_105,feature_106,feature_107,feature_108,feature_109,feature_110,feature_111,feature_112,feature_113,feature_114,feature_115,feature_116,feature_117,feature_118,feature_119,feature_120,feature_121,feature_122,feature_123,feature_124,feature_125,feature_126,feature_127,feature_128,feature_129,feature_130,feature_131,feature_132,feature_133,feature_134,feature_135,feature_136,feature_137,feature_138,feature_139,feature_140,feature_141,feature_142,feature_143
nat,random,nat,4.0,1.0,5.927170564247588,0.027385778081563526,5.96012694628633,0.024433107601251874,6.009766774347906,0.016808816273160797,5.240009646347865,0.08895078103368288,5.160945626202979,0.12550567845593097,1.950499070080972,0.5055348455684688,1.9493620511820935,0.5794004661777485,4.1834687025028785,0.18137972198059546,4.201186404557923,0.18213082842418055,4.226759130921157,0.1747594222732078,17.236701194630534,0.0031455747663417244,18.47539320595078,0.002145486030651727,18.942363381913815,0.0007021606495070408,19.502086165617985,0.0010942013734516452,19.72733322936895,0.0008909255224392116,19.863116198694467,0.0007400252423032734,18.17512773511783,0.0021151454680481832,18.850665332650255,0.0012893992467161606,19.625547156380986,0.000605490049868806,8.762802898879052,0.004250454747413443,8.778882199644064,0.0038344863483197548,8.798178037983167,0.0030040727402417984,1.712524569115186,0.644303241964785,1.6777580588724437,0.44606008225766147,1.6441057767256435,0.17849020169161897,1.9964589622312767,0.23093205415245038,2.0264479412426017,0.2095272420948031,2.057968668310659,0.22455369758287066,1.739629452396274,0.41737570684815817,1.7217217712607757,0.2696222481916177,1.7309508823670698,0.15640559441985302,17.23151958957645,0.0031432906949245623,17.8411678581578,0.00272358831192035,1.98193764263496,0.15916640271585086,1.9828147714998092,0.1220427356674707,8.519767044692559,0.010537745262452146,8.524575500508407,0.012643986206627716,1.957134387512284,0.4611586222579571,1.9572968187835522,0.48412640401530105,0.1891371815101307,0.1659720895160108,0.10998532132235454,0.11862938584195123,0.10061895672693945,0.0628491345194788,0.5173854760618293,0.4799234179715969,0.38326674247177145,3.097298304302452,3.023873959762386,2.890038045078952,0.21258646032439085,0.19148687489784896,0.13347074373886686,0.09048373539333565,0.07930978823547544,0.052552368852344704,0.0851358551153716,0.07472206769681591,0.04956830383053372,1.8035219142674386,1.8226171196244374,1.8192345080555155,0.0716557234462116,0.04910664325997116,0.016032243253323395,1.1753493346577748,1.0580565249216136,0.9077500100611808,1.1114961470379126,1.1158293576003873,1.1392385545414736,10.302050241443334,10.676039059438883,11.108090713119996,1.075157717476051,0.9921254406692299,0.9401441695938987,0.03092073795436736,0.020123420601008534,0.006483705367658436,10.377326304679707,11.142462635519047,11.426290473773387,0.010193733080934686,0.008326499717885825,0.006975071348196635,11.759535389468919,11.89076166773856,11.965074402277242,0.020009019900096098,0.011864577262119041,0.005497038776300016,10.957320824351742,11.375401726235195,11.846271186656804,0.038850769179945524,0.03501100421324971,0.02746073801754275,5.296091518979132,5.304669892764867,5.3146948262995455,0.63566095,1.0,0.682007915640267
nat,semnet,same,4.0,3.0,0.49553455204342656,23.888170126849246,0.4692707967859487,23.786987644685436,0.46654714436236555,23.494625438592657,1.0431500684859174,25.99788736575368,0.7644436778679431,27.538988415133215,1.4059401115902834,1.9997563530930975,1.271780003086194,1.999788839347351,0.4551310636257448,29.918819590253673,0.44119081453004816,30.12444778132848,0.4395971104738734,30.412442638844528,0.1956247926115377,198.60125528686993,0.21270961503889982,175.38643355167798,0.2125791366382566,145.7924242997449,0.17674729345976944,98.50782915163843,0.17487383129610992,88.54080206787455,0.17084716093974905,79.11206962832375,0.20654395495490507,175.06630722077531,0.21503662891825423,150.38667816941597,0.21838007798601602,123.01606789840116,0.08468213689077551,135.76344812907527,0.08296434099091833,124.30707561916587,0.08373852763424014,111.96667264701472,2.0112117010623494,1.2735758952026117,2.0439511812454905,1.1247992346729443,1.9385796793591983,0.9943391128784327,1.872333998517498,0.6508939707618986,1.900814119863828,0.6423236227508722,1.8598013864980116,0.6440774513709402,2.0457049847814455,1.0815386263828506,2.078243757594633,0.9700386226585379,2.0236873322843763,0.8525675242304015,0.1956324256317335,198.9788327777539,0.2038908472395929,187.73800151390216,1.2802670370099651,1.9998375687287318,1.282695384515427,1.999805082474478,0.11064632525574752,308.9245401140471,0.09103670068771956,296.0184762723268,1.1495423498932014,1.9999512706186195,1.082141493880402,1.9999512706186195,7.1262009033494405,6.964188876091813,7.119716466933752,2.3092463414213764,2.3111174206521947,2.427090277134851,2.282723050353037,2.3000805343033135,2.381740545799166,6.4493407944655265,6.606239946407167,6.74020530829749,15.503148835450462,14.678029942481437,14.482895370909715,0.83253286970617,0.82105204657997,0.855623706541323,0.7959277395648624,0.7854787644582917,0.8198360284652427,1.3421392299208768,1.2229733220176768,1.1013711980209484,3.3136191205331986,3.2632267452739097,2.934315395752425,1.63812260599259,1.578627184918273,1.4607499932455243,1.259122509394725,1.26911415420788,1.2497206382834924,99.3368318086309,85.28716583883414,69.74874045687804,1.5587723972569103,1.5187122216203421,1.4327416504920223,1.9229754175430367,1.9950934138714176,1.9629418000585914,119.56754412339983,105.77511183886855,87.94396746263845,1.6466025139623386,1.6343531196256893,1.61031147192033,59.39909675359299,53.36846917008194,47.655251560339096,1.953880793244384,1.97868790794158,1.982598651985539,105.54301030006626,90.75058350795297,74.25432213576939,0.7740268628927609,0.7575108184321301,0.7654680722390041,82.05315747952476,75.11297981893073,67.63544602826353,2.3865392,0.9755931257974148,0.3760881716653018
nat,random,nat,3.0,1.0,5.107447612211598,0.5577076698502195,5.137545657044184,0.5580832037809753,5.193104286149459,0.5395220052556002,4.479884790241847,0.5498775554809487,4.312831496031082,0.7264116540934186,1.925232885835181,1.1376929886541758,1.9192472934889424,1.2500385774269263,3.2176301850114735,0.6109292543993892,3.221137979931845,0.6121321893301531,3.242208490978599,0.597730901031535,4.189306431668826,0.12432509790779196,4.37771099654266,0.13210063988727064,4.353571567106029,0.11919177025382018,4.1564117233391285,0.08864381990851475,4.153272054230994,0.08509823615165202,4.129751977186879,0.08005428621182967,4.302100124736602,0.12542812625525726,4.345216852376792,0.12208266504135284,4.289291513270621,0.12338541682882112,2.983492274626743,0.09514479473056245,2.9786987133083915,0.09516497937193574,2.9920564492808315,0.09500380041014687,1.2224832351025408,1.1376259173294108,1.1716431949134491,1.1066304814147425,1.1111283865847998,0.9580620312143027,1.249729447745181,0.8357680968787464,1.257390266727903,0.8063984657447182,1.258167052777742,0.7681176283414418,1.2094221530158409,1.1056870529527323,1.1696620163065152,1.028613814987435,1.1124269386247378,1.0078097853878276,4.1880606497137745,0.1243845032134434,4.279059858950417,0.12815996112202982,1.9063827368044897,1.150760584427714,1.9085024648945415,1.1486083700834084,3.055946126111122,0.09483970736206931,2.9258184082136536,0.09609429517037064,1.873376702482762,1.1049143581122238,1.8679758627130896,1.0979460565748118,4.0633988027660335,4.089552285674507,4.069456888927118,3.1201776694723184,3.102707161099606,3.102139269109082,2.6534307287982117,2.665032017449434,2.6926637917338616,3.2674882725612098,3.2620014073789765,3.3314496309914667,3.730556562169195,3.770157039487977,3.7019243431527755,2.04324595078024,2.053326637159632,2.0441417019802817,2.0060563742841033,2.015976107352614,2.005711203813028,1.2850683350699554,1.2710247163578667,1.2246450869483285,1.9601658262591388,2.0469967071012363,1.7832470029100171,1.1769857386227585,1.1350041145771181,1.0305671936172884,1.0406895190185061,1.0299023319841332,1.011346773946761,2.5093254673867076,2.5298736824077603,2.4975050643025765,1.1539645693146428,1.095222802554618,1.0561482257092032,1.2221053572440432,1.2390277541478112,1.1006089861600195,2.5221647309906063,2.6401863637936684,2.626133409076664,0.8258182281122644,0.7953194980533943,0.7545477182893605,2.5062688339455987,2.503408218634297,2.4876655392692246,1.1865348800756985,1.1233597471360892,1.120174346192692,2.5936264092460855,2.622113671382227,2.5890799405461897,0.8696595254895498,0.8689094682015609,0.8684458398047894,1.803172833501906,1.7998889864070753,1.8074045401602552,1.334454,0.9918793342932063,0.39398162035617634
nat,random,same,3.0,1.0,1.5347138068141075,0.39709378218267116,1.5850493772431176,0.3858879692578669,1.6148762756092776,0.3669241601092418,0.485186078365543,0.630741901875206,0.7910660945101103,0.6769700231865367,1.088313882188599,1.1930252012117373,1.2872759463651942,1.221556254010022,1.0499063360308547,0.44710159595048626,1.0792353505787327,0.4414387476897294,1.0957146188413471,0.425120932710505,0.6141360258095747,0.11279132376453897,0.6874750238216891,0.1129445146135945,0.7249808706160196,0.1111169227844892,1.093120680737125,0.07367622581241078,1.1406816438963372,0.0697891659244049,1.1894672394621282,0.06508933131191902,0.6725633802026211,0.11247286026346213,0.722708277784408,0.1137015699376978,0.7663485731172854,0.11726323965792543,0.41164019438411725,0.06081419869376156,0.4312054193519579,0.057865884892825396,0.4494843837586791,0.05632636387953372,1.298890381509249,1.6147169573971532,1.2710059371224485,1.5560280063953793,1.2316867719070783,1.506457302277264,2.382169698528243,1.086787767391281,2.3855390745749196,1.08760626669692,2.412248242260323,1.053373078557632,1.3703697577486578,1.5511902782336586,1.3438609306591904,1.5755034984690912,1.323023206933293,1.6154960063632817,0.6136900880567003,0.11285910399872001,0.6498784333165503,0.1131802254064679,1.580691794784332,1.1229117429687563,1.5896580009583445,1.1119638752852699,0.1159151978869736,0.10537745262452146,0.15678542896218367,0.09103670068771956,1.162829227882952,1.1353864646021652,1.2421362960797213,1.082141493880402,1.8120562228551231,1.8323318682567593,1.7744298506673202,2.900239181891781,2.9197666228248362,2.7888599192947807,2.558202976328987,2.585271191699149,2.553082419817086,2.0464907594612423,2.1137334839135025,2.1359372427019263,0.7981482729143424,0.8042828877764672,0.7829010852081547,2.6720883749610365,2.658613919434927,2.5782622666574406,2.6607000655083937,2.644381325698313,2.5574092785109728,1.4111487295462837,1.4178350160743745,1.3971674358169595,1.6987549910276014,1.7274266957330762,1.6895978581234734,1.4530151210615745,1.408388812670322,1.363741794848162,1.7310534294368811,1.7332202807455483,1.7297396437870984,0.44492351473573466,0.473666753977082,0.5001102533091941,1.4562495626372502,1.454482847980961,1.4637572390794926,1.1087293180780295,1.0593543559245207,1.0260463744319475,0.3697395379384113,0.4146144377224112,0.4373182927900739,0.6863780274496022,0.6522424779010563,0.613496275470273,0.6591392951976139,0.6875523117408938,0.7165071118181903,1.06397963318761,1.0462399949323153,1.0645931763434364,0.4054713033653846,0.43611707308992886,0.4625793588487616,0.555864851343836,0.5283478817635865,0.5148888378289266,0.2487884490278246,0.26055736409427177,0.27151898024244797,0.8067372,1.0,0.6287623320539417
nat,random,nat,2.0,1.0,3.367710547867947,2.077248275294812,3.412490694974845,2.1439082352336563,3.4441674514835086,2.2040047874271327,2.4340168264671407,0.6873469443511859,2.658438461839265,0.9013589634562315,1.755882042410805,1.2288006887085903,1.7901794053391158,1.343444679969788,2.2039468388180703,1.3240528841404131,2.2278418169181022,1.356570986534913,2.2442510949942713,1.3826904201268715,3.779782554946051,0.8238410102323563,4.071519490168221,0.9213330011627274,4.298100875794973,1.0068983713930966,4.491615586065414,2.131477258165942,4.562117776478349,2.261258068502963,4.615389431197055,2.405476717614867,4.0360148248561405,0.9120507258223766,4.194943231077691,0.9965297905415854,4.316202182153679,1.0956678835737081,2.5264049102510517,1.0930207862002415,2.5502820113006663,1.1499973148278975,2.5733638111096306,1.2166494597979285,1.3025354761018073,0.6562067404595547,1.2727502042454604,0.6386966907691436,1.2754509232217397,0.6319875289525472,1.5948578608554942,1.7493416730536293,1.613186494609116,1.7732076461864257,1.6349003368858575,1.802269824978701,1.3398991737142576,0.6998627766401541,1.3189046209892725,0.6948146538348098,1.30153636728117,0.6988262032158371,3.7809296644664023,0.8232428010516711,3.9221941348579645,0.8709430179674187,1.8963444842401058,1.6460947461605309,1.900121011297095,1.656100512470661,2.165506651433916,0.2318303957739472,2.2101687889185246,0.26046611585653096,1.8320298223814049,1.3610765944659666,1.8337109860390322,1.3883325617847948,17.34570990430005,18.29676314824503,19.247431231412047,23.15111749367892,24.339674632337687,25.613761167361883,7.227765798252074,7.464305760754124,7.737277309844365,3.7448538924947186,3.799053457927812,3.857147130476466,9.161914940116752,9.620163699861063,10.029704173704301,9.074871748151503,9.416831624968323,9.812801689239802,10.563198658633883,10.967485922139051,11.422556026407177,1.166545844445488,1.1689459335971846,1.1831070074931185,9.968296039567624,11.030326728770298,12.113960747987232,0.9768241660159933,0.9522561372581606,0.9500060872821099,1.6687976513889333,1.6899284155138206,1.7155392759460548,2.80434278377217,2.9399799407036626,3.0630325107886547,1.0167179217622948,1.0032732181897752,0.9964356129098886,8.098288511858119,8.641571760947379,9.297633497222197,2.275611585448261,2.455523045343072,2.592672735826867,19.85714034454766,21.13348893396601,22.672701919691438,2.708392937641021,2.749842289858897,2.7802021287770775,8.627889380921438,9.169700326718639,9.947197056758005,2.433210370364521,2.531431311849133,2.605323619199469,9.9906247206583,10.500118445410072,11.121598897104814,1.5269168750103261,1.5410167144007212,1.55448585764536,1.8016388,0.9905765685513143,0.36459123762722384
nat,semnet,soc,2.0,1.0,17.002127251664753,0.5132982999882245,17.283514924599835,0.4933160772824188,17.591451157684308,0.46695711549097924,11.135020498489212,0.9299399835339575,11.535112810813292,0.9431941896082084,1.99645899828635,1.355732605641238,1.9968325902102673,1.3625709621616353,15.388881092539446,0.48174790334805595,15.649530288589819,0.46540774749325714,15.905026417199535,0.4479320712197793,24.468227793175572,0.5091337443235963,25.23903791758035,0.49637351809149605,25.22301485159192,0.44692525341123146,19.750807593864796,0.2512070214902073,19.282568359808586,0.22565658607514497,18.63648324706333,0.19646847932882683,24.975584808076245,0.4861661858308749,25.409253210128675,0.44202950539696745,25.312444258093226,0.3893973787378499,20.67584668170645,0.08664388523573556,20.493935173096975,0.08296434099091833,20.188495341702478,0.07773038215375654,1.0303028783002,5.115871941185616,0.981798361265052,4.769710285341603,0.9540725071393096,4.390686507312675,0.8569271742459945,2.600855449673728,0.8484882132832403,2.452803955130389,0.8414806477861447,2.3040197745765374,1.0131521871201186,4.706186720179769,0.9941274194731977,4.272039907271387,0.9729395303569481,3.88738842942398,24.470817421006284,0.5087640510499327,24.87725564108048,0.5030316301655113,1.9889546735537527,1.5356983326430005,1.9894582104946845,1.5275117965710758,23.42540771843112,0.14225956104310397,23.957825064318197,0.1466702399968815,1.9880450584346498,1.2222953162942929,1.9885323522484548,1.2227501238538443,7.760725641318911,7.6679105356397,7.5009989141845805,3.7148607434274528,3.668095551680783,3.5948778236145738,2.8952719395771047,2.897692902679278,2.89863513582758,6.780531078619001,6.919251216418555,7.0949292200612515,11.429735476710391,11.211458980456603,10.853504642915935,1.262189764819221,1.2335212952960908,1.1961008869694345,1.2180378163683157,1.1902772857548038,1.153829144623931,1.1033385281225798,1.0835061415842362,1.0706102835416709,6.951928844642588,6.624471003968741,5.900973515547872,3.065095570754831,2.8653212503623955,2.661975065563672,1.725477042652893,1.6474595724420924,1.5699628656559728,14.430584423477557,14.639824248070306,14.546834193103246,2.850800490063961,2.623704658083705,2.421063031760333,5.004742300328317,4.655697094761903,4.126878466514595,14.731054454092053,15.221599552344419,15.214864613661051,2.3402797576921164,2.108963603545181,1.851803942153449,11.909511572157728,11.622677127337948,11.226179538866226,4.599073224037088,4.067392805040991,3.5352067152471656,15.057142899145774,15.33317035384491,15.278966578061054,0.7919579871296588,0.7575108184321301,0.7105465962039186,12.496135942154522,12.383531117596064,12.195217155200277,2.0752277,1.0,0.45304199306431436
nat,gpt,nat,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nat,gpt,nat,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nat,semnet,nat,2.0,1.0,14.549619801036082,6.889373577924144,14.919320893850132,6.872684123837848,15.375147236398766,6.87972550926613,6.841123704954157,7.237359002286016,6.891402707943845,6.978876362625252,1.9775032689293344,1.9812310666049429,1.9782342096500418,1.9793468638582299,11.068876696439379,12.71907143015454,11.321867960811815,12.740797272565938,11.679885234919302,12.75386986732459,128.97111183767868,14.896243779197704,129.90795316394457,16.42921252871779,131.46325638509234,13.810622274991609,159.86063225853846,9.652288031690249,162.92892553911068,9.131496595964578,166.48726111220586,8.348158978401688,130.0175688918282,15.099706224575772,130.44934231706733,14.668733312153064,131.84000894848367,13.146534516095931,122.75215223112774,7.1041446732153295,124.06724592756187,6.973536308921518,125.53344065103921,6.777188101985497,0.9147218001737292,1.8255371486646177,0.834744301910259,1.8781857712845482,0.7997114075193406,1.5561521075009002,1.1682472591096271,1.21882354680843,1.1842607723405696,1.1808512325105913,1.208942646208929,1.1228591764644016,0.8883727920332675,1.7827031177664145,0.8430634502369768,1.6866114946175021,0.8149735397233213,1.5052805952316528,128.93119836339713,14.902041823618786,129.37483281960806,15.651932441990047,1.9994639768048144,1.9782829390314223,1.9995289493133217,1.9795986323286958,102.87473812468907,9.078267543602523,104.02207452192623,9.305973848077999,1.9989929261181363,1.9602205816663825,1.9990578986266436,1.9610977105312315,38.98056298929758,39.687246045068505,40.80455421059354,8.159730220159018,8.170909358514585,8.261358619901884,4.29097507860502,4.324811999618866,4.394173718413759,2.5374621832380386,2.570584656581347,2.619651314206301,131.27876159090587,134.8280435653575,139.75962485083537,5.1794868419865825,5.208081016579444,5.279729828495179,5.466897462285902,5.482102564944044,5.543110716348135,1.0161104525297624,0.9674496250393018,0.9280518255741093,171.4180577946452,177.21307089965342,145.57525182282106,1.3665663300329574,1.3515438586810689,1.1733456864748988,1.191178371452818,1.180273121406914,1.1638346145623057,82.24599676484942,82.18172946420323,82.06008105613863,1.3313959246121843,1.2603321399502965,1.1557823992358198,146.4288356231393,154.09653063940863,127.52637995013187,77.6468360334432,78.34715602803972,79.30041905533557,89.92206572083873,85.34204253348487,78.68515987266419,96.3941368355445,98.206331278577,100.28801353786727,142.84139171380102,134.97628462456436,119.35292747519846,78.38427525311586,78.71943231677898,79.58058375698305,64.93457790321972,63.67228538964186,61.95142496757644,74.1893478456389,74.9680618993698,75.83069184044348,2.2817287,0.9999999999999999,0.8246389898531007
nat,semnet,soc,2.0,1.0,17.002127251664753,1.6464773876334613,17.283514924599835,1.6226686064069498,17.591451157684308,1.592737834664139,11.135020498489212,2.142905179447815,11.535112810813292,2.1450061408831838,1.99645899828635,1.7066978534707502,1.9968325902102673,1.710953552777981,15.388881092539446,1.1885715223853706,15.649530288589819,1.1756900844672937,15.905026417199535,1.1569420149809828,24.468227793175572,1.9204482894889165,25.23903791758035,1.912394298321636,25.22301485159192,1.8707315104491333,19.750807593864796,1.3126498970329605,19.282568359808586,1.2523294606166777,18.63648324706333,1.1812447367698695,24.975584808076245,1.903472285333261,25.409253210128675,1.8883251968158172,25.312444258093226,1.83954604817364,20.67584668170645,1.258134605234379,20.493935173096975,1.2078631997207228,20.188495341702478,1.149433332235018,1.0303028783002,1.3289272627462205,0.981798361265052,1.2622185411549562,0.9540725071393096,1.2428422603251117,0.8569271742459945,0.9359317081267833,0.8484882132832403,0.934990374128762,0.8414806477861447,0.9367856312680736,1.0131521871201186,1.2689420033288132,0.9941274194731977,1.253529468179759,0.9729395303569481,1.2418884658527107,24.470817421006284,1.9207002951081897,24.87725564108048,1.9171792058992665,1.9889546735537527,1.8066986656271065,1.9894582104946845,1.8051636901136208,23.42540771843112,2.0179782177595857,23.957825064318197,1.9901634289232026,1.9880450584346498,1.8215448838210333,1.9885323522484548,1.8189216187900494,22.653753385390814,22.831120633822447,23.030926284901042,9.86807108851242,9.88636086886536,9.935767978603335,4.718828859715997,4.757187470773252,4.818947616014097,6.17043247621249,6.263321802105539,6.386649326182969,36.66250406336304,36.87794369043273,37.02007509897138,3.460483984341594,3.453403440511778,3.4569742008357993,3.5081811954423197,3.4949171075778813,3.491729490361271,1.1034224238476984,1.0838700536990364,1.0732384725409074,24.822072138983927,24.199380747559193,23.459613259194295,1.1765473759039025,1.1179378684356143,1.094180732254872,0.8946591439411351,0.8900178236842643,0.8875573512930347,15.233850284009813,15.458875084584388,15.367595310057691,1.1375082578513138,1.1198253834358283,1.1032667399614562,18.877846729187805,17.937154691427537,17.27421202578399,14.731054454092053,15.221599552344419,15.214864613661051,12.228830088981535,11.70414432844621,11.133763887576984,11.909511572157728,11.622677127337948,11.226179538866226,18.006617233593982,17.375673400373337,16.700614584485702,15.057142899145774,15.33317035384491,15.278966578061054,11.499827677263875,11.028466327173659,10.507164883962295,12.496135942154522,12.383531117596064,12.195217155200277,1.9901524,1.0,0.7184742453228634
